 angular_freq	sdprior	gsk	gck
   1.25922012       6.57462166E-04   5.79908630E-03   7.82661885E-03
   1.29150784       6.24999986E-04   1.73533875E-02   3.20871770E-02
   1.32379544       5.94883983E-04   1.00764155E-03   5.94346561E-02
   1.35608315       5.66893374E-04   2.33171992E-02   5.57627939E-02
   1.38837087       5.40832873E-04   2.92377290E-03   1.26981931E-02
   1.42065859       5.16528904E-04   7.71378502E-02   6.81443466E-03
   1.45294631       4.93827160E-04   3.59893478E-02   1.38757955E-02
   1.48523402       4.72589716E-04   9.58336592E-02   3.55923176E-03
   1.51752162       4.52693494E-04   5.42270951E-03   8.31197575E-03
   1.54980934       4.34027752E-04   5.25183091E-03   3.70414997E-03
   1.58209705       4.16493102E-04   2.27775355E-03   3.36530176E-03
   1.61438477       3.99999990E-04   2.26256831E-04   6.67781336E-03
   1.64667249       3.84467421E-04   2.62258342E-03   2.30775928E-04
   1.67896008       3.69822461E-04   2.67534197E-04   4.46896564E-04
   1.71124780       3.55998549E-04   2.85648112E-03   2.58882559E-04
   1.74353552       3.42935498E-04   6.50534872E-04   1.00089237E-03
   1.77582324       3.30578507E-04   1.15788514E-02   1.28199277E-03
   1.80811095       3.18877544E-04   5.85661910E-04   2.30133606E-04
   1.84039867       3.07786948E-04   4.89368220E-04   6.96730625E-04
   1.87268627       2.97265156E-04   1.11532095E-03   2.42202519E-03
   1.90497398       2.87273753E-04   3.70983896E-03   1.03873247E-02
   1.93726170       2.77777755E-04   1.95418280E-02   3.82683403E-03
   1.96954942       2.68744945E-04   1.04378909E-04   2.76483293E-03
   2.00183702       2.60145665E-04   6.05326239E-03   3.56925331E-04
   2.03412461       2.51952646E-04   4.57892288E-03   4.76479623E-03
   2.06641245       2.44140610E-04   7.21058168E-04   3.51360621E-04
   2.09870005       2.36686377E-04   5.04466798E-03   3.99132818E-03
   2.13098764       2.29568454E-04   2.64721049E-04   2.21538357E-03
   2.16327548       2.22766743E-04   8.06981931E-04   2.92960834E-03
   2.19556308       2.16263012E-04   7.07712071E-03   2.09209451E-04
   2.22785091       2.10039900E-04   4.77933820E-04   1.64018187E-03
   2.26013851       2.04081618E-04   1.14979548E-03   6.28970622E-04
   2.29242611       1.98373367E-04   3.80381069E-04   7.19681941E-03
   2.32471395       1.92901221E-04   3.64700449E-03   2.26616091E-03
   2.35700154       1.87652491E-04   2.23837886E-03   5.14111365E-04
   2.38928938       1.82615040E-04   1.59535080E-03   3.12899851E-04
   2.42157698       1.77777765E-04   4.09872737E-03   1.29537875E-04
   2.45386457       1.73130218E-04   4.82010393E-04   4.96841094E-04
   2.48615241       1.68662489E-04   5.02867100E-04   3.48730566E-04
   2.51844001       1.64365571E-04   7.62655400E-04   1.41262845E-03
   2.55072784       1.60230717E-04   9.54685616E-04   1.06437807E-03
   2.58301544       1.56249997E-04   1.52372508E-04   3.33805685E-04
   2.61530304       1.52415814E-04   3.30529967E-03   2.55092233E-03
   2.64759088       1.48720996E-04   3.00417130E-04   2.39464134E-04
   2.67987847       1.45158978E-04   3.40167480E-03   1.14223640E-03
   2.71216631       1.41723343E-04   6.29208749E-04   1.83476775E-03
   2.74445391       1.38408330E-04   1.40783042E-04   1.48606501E-04
   2.77674174       1.35208218E-04   6.43217572E-05   4.93914238E-04
   2.80902934       1.32117842E-04   7.38914474E-04   2.74890498E-03
   2.84131694       1.29132255E-04   2.01573828E-04   6.94572227E-05
   2.87360477       1.26246683E-04   3.59789730E-04   4.54801630E-04
   2.90589237       1.23456804E-04   1.09384433E-04   8.30978679E-05
   2.93818021       1.20758355E-04   1.12426409E-03   3.68208886E-04
   2.97046781       1.18147444E-04   8.41144647E-05   2.91838805E-04
   3.00275540       1.15620307E-04   3.23385349E-04   6.00409170E-04
   3.03504324       1.13173373E-04   4.43050558E-05   9.42710671E-04
   3.06733084       1.10803332E-04   5.72081481E-04   4.47950035E-04
   3.09961867       1.08506938E-04   3.71106085E-04   6.65184562E-05
